Nome	Email	Sexo	Telefone	Profissão
João Silva	joao.silva@email.com	Masculino	(12) 1234-5678	Engenheiro Civil
Maria Santos	maria.santos@email.com	Feminino	(12) 1234-5679	Médica
Pedro Oliveira	pedro.oliveira@email.com	Masculino	(12) 1234-5680	Advogado
Ana Costa	ana.costa@email.com	Feminino	(12) 1234-5681	Professora
Carlos Pereira	carlos.pereira@email.com	Masculino	(12) 1234-5682	Contador
Juliana Lima	juliana.lima@email.com	Feminino	(12) 1234-5683	Arquiteta
Rafael Santos	rafael.santos@email.com	Masculino	(12) 1234-5684	Programador
Fernanda Almeida	fernanda.almeida@email.com	Feminino	(12) 1234-5685	Enfermeira
Gustavo Martins	gustavo.martins@email.com	Masculino	(12) 1234-5686	Analista de Sistemas
Laura Ferreira	laura.ferreira@email.com	Feminino	(12) 1234-5687	Designer Gráfico
Renato Oliveira	renato.oliveira@email.com	Masculino	(12) 1234-5688	Engenheiro de Software
Sara Martins	sara.martins@email.com	Feminino	(12) 1234-5689	Psicóloga
Leonardo Almeida	leonardo.almeida@email.com	Masculino	(12) 1234-5690	Médico Veterinário
Carolina Silva	carolina.silva@email.com	Feminino	(12) 1234-5691	Engenheira Elétrica
Fernando Santos	fernando.santos@email.com	Masculino	(12) 1234-5692	Professor Universitário
Larissa Lima	larissa.lima@email.com	Feminino	(12) 1234-5693	Jornalista
Gabriel Pereira	gabriel.pereira@email.com	Masculino	(12) 1234-5694	Arquiteto de Software
Aline Costa	aline.costa@email.com	Feminino	(12) 1234-5695	Advogada Ambiental
Marcelo Oliveira	marcelo.oliveira@email.com	Masculino	(12) 1234-5696	Chef de Cozinha
Patrícia Fernandes	patricia.fernandes@email.com	Feminino	(12) 1234-5697	Engenheira Química
